group,seq,event_type,stage
G5,34,agent_probe,S5
G5,35,agent_scaffold,S5
G5,36,agent_scaffold,S5
G5,37,agent_scaffold,S5
G5,38,agent_scaffold,S5
G5,39,agent_scaffold,S5
G5,40,agent_scaffold,S5
G5,41,agent_scaffold,S5
G5,42,agent_scaffold,S5
G5,43,agent_scaffold,S5
G5,44,agent_scaffold,S5
G5,45,agent_scaffold,S5
G5,46,agent_scaffold,S5
G5,47,agent_scaffold,S5
G6,0,navigate,S0
G6,1,help_click,S0
G6,2,agent_probe,S0
G6,3,help_click,S0
G6,4,agent_scaffold,S0
G6,5,submit,S0
G6,6,navigate,S1
G6,7,help_click,S1
G6,8,agent_scaffold,S1
G6,9,help_click,S1
G6,10,agent_scaffold,S1
G6,11,submit,S1
G6,12,navigate,S2
G6,13,help_click,S2
G6,14,agent_probe,S2
G6,15,help_click,S2
G6,16,agent_scaffold,S2
G6,17,submit,S2
G6,18,navigate,S3
G6,19,help_click,S3
G6,20,agent_scaffold,S3
G6,21,help_click,S3
G6,22,agent_probe,S3
G6,23,submit,S3
G6,24,navigate,S4
G6,25,help_click,S4
G6,26,agent_scaffold,S4
G6,27,help_click,S4
G6,28,agent_scaffold,S4
G6,29,submit,S4
G6,30,navigate,S5
G6,31,help_click,S5
G6,32,agent_probe,S5
G6,33,submit,S5
G6,34,navigate,S6
G6,35,help_click,S6
G6,36,agent_scaffold,S6
G6,37,submit,S6
G6,38,agent_probe,S5
G6,39,agent_probe,S5
G6,40,agent_probe,S5
G6,41,agent_probe,S5
G6,42,agent_scaffold,S5
G6,43,agent_scaffold,S5
G6,44,agent_scaffold,S5
G6,45,agent_scaffold,S5
G6,46,agent_scaffold,S5
G6,47,agent_scaffold,S5
G6,48,agent_scaffold,S5
G6,49,agent_scaffold,S5
G7,0,navigate,S0
G7,1,help_click,S0
G7,2,agent_probe,S0
G7,3,help_click,S0
G7,4,agent_scaffold,S0
G7,5,help_click,S0
G7,6,agent_scaffold,S0
G7,7,help_click,S0
G7,8,agent_scaffold,S0
G7,9,help_click,S0
G7,10,agent_scaffold,S0
G7,11,help_click,S0
G7,12,agent_scaffold,S0
G7,13,help_click,S0
G7,14,agent_scaffold,S0
G7,15,help_click,S0
G7,16,agent_scaffold,S0
G7,17,help_click,S0
G7,18,agent_scaffold,S0
G7,19,help_click,S0
G7,20,agent_scaffold,S0
G7,21,help_click,S0
G7,22,agent_scaffold,S0
G7,23,help_click,S0
G7,24,agent_scaffold,S0
G7,25,help_click,S0
G7,26,agent_scaffold,S0
G7,27,help_click,S0
G7,28,agent_scaffold,S0
G7,29,help_click,S0
G7,30,agent_scaffold,S0
G7,31,help_click,S0
G7,32,agent_scaffold,S0
G7,33,help_click,S0
G7,34,agent_scaffold,S0
G7,35,help_click,S0
G7,36,agent_scaffold,S0
G7,37,help_click,S0
G7,38,agent_scaffold,S0
G7,39,help_click,S0
G7,40,agent_scaffold,S0
G7,41,help_click,S0
G7,42,agent_scaffold,S0
G7,43,help_click,S0
G7,44,agent_scaffold,S0
G7,45,help_click,S0
G7,46,agent_scaffold,S0
G7,47,help_click,S0
G7,48,agent_scaffold,S0
G7,49,help_click,S0
G7,50,agent_scaffold,S0
G7,51,help_click,S0
G7,52,agent_scaffold,S0
G7,53,help_click,S0
G7,54,agent_scaffold,S0
G7,55,help_click,S0
G7,56,agent_scaffold,S0
G7,57,help_click,S0
G7,58,agent_scaffold,S0
G7,59,help_click,S0
G7,60,agent_scaffold,S0
G7,61,help_click,S0
G7,62,agent_scaffold,S0
G7,63,help_click,S0
G7,64,agent_probe,S0
G7,65,help_click,S0
G7,66,agent_scaffold,S0
G7,67,help_click,S0
G7,68,agent_scaffold,S0
G7,69,help_click,S0
G7,70,agent_scaffold,S0
G7,71,help_click,S0
G7,72,agent_scaffold,S0
G7,73,help_click,S0
G7,74,agent_scaffold,S0
G7,75,help_click,S0
G7,76,agent_scaffold,S0
G7,77,help_click,S0
G7,78,agent_scaffold,S0
G7,79,help_click,S0
G7,80,agent_scaffold,S0
G7,81,help_click,S0
G7,82,agent_scaffold,S0
G7,83,help_click,S0
G7,84,agent_scaffold,S0
G7,85,help_click,S0
G7,86,agent_scaffold,S0
G7,87,help_click,S0
G7,88,agent_scaffold,S0
G7,89,help_click,S0
G7,90,agent_scaffold,S0
G7,91,help_click,S0
G7,92,agent_scaffold,S0
G7,93,help_click,S0
G7,94,agent_scaffold,S0
G7,95,help_click,S0
G7,96,agent_scaffold,S0
G7,97,help_click,S0
G7,98,agent_scaffold,S0
G7,99,help_click,S0
G7,100,agent_scaffold,S0
G7,101,help_click,S0
G7,102,agent_scaffold,S0
G7,103,help_click,S0
G7,104,agent_scaffold,S0
G7,105,help_click,S0
G7,106,agent_scaffold,S0
G7,107,help_click,S0
G7,108,agent_scaffold,S0
G7,109,help_click,S0
G7,110,agent_scaffold,S0
G7,111,help_click,S0
G7,112,agent_scaffold,S0
G7,113,help_click,S0
G7,114,agent_scaffold,S0
G7,115,help_click,S0
G7,116,agent_scaffold,S0
G7,117,help_click,S0
G7,118,agent_scaffold,S0
G7,119,help_click,S0
G7,120,agent_scaffold,S0
G7,121,help_click,S0
G7,122,agent_scaffold,S0
G7,123,help_click,S0
G7,124,agent_probe,S0
G7,125,help_click,S0
G7,126,agent_scaffold,S0
G7,127,help_click,S0
G7,128,agent_scaffold,S0
G7,129,help_click,S0
G7,130,agent_scaffold,S0
G7,131,help_click,S0
G7,132,agent_scaffold,S0
G7,133,help_click,S0
G7,134,agent_scaffold,S0
G7,135,help_click,S0
G7,136,agent_scaffold,S0
G7,137,help_click,S0
G7,138,agent_scaffold,S0
G7,139,help_click,S0
G7,140,agent_scaffold,S0
G7,141,help_click,S0
G7,142,agent_scaffold,S0
G7,143,help_click,S0
G7,144,agent_scaffold,S0
G7,145,help_click,S0
G7,146,agent_scaffold,S0
G7,147,help_click,S0
G7,148,agent_scaffold,S0
G7,149,help_click,S0
G7,150,agent_scaffold,S0
G7,151,help_click,S0
G7,152,agent_scaffold,S0
G7,153,help_click,S0
G7,154,agent_scaffold,S0
G7,155,help_click,S0
G7,156,agent_scaffold,S0
G7,157,help_click,S0
G7,158,agent_scaffold,S0
G7,159,help_click,S0
G7,160,agent_scaffold,S0
G7,161,help_click,S0
G7,162,agent_scaffold,S0
G7,163,help_click,S0
G7,164,agent_scaffold,S0
G7,165,help_click,S0
G7,166,agent_scaffold,S0
G7,167,help_click,S0
G7,168,agent_scaffold,S0
G7,169,help_click,S0
G7,170,agent_scaffold,S0
G7,171,help_click,S0
G7,172,agent_scaffold,S0
G7,173,help_click,S0
G7,174,agent_scaffold,S0
G7,175,help_click,S0
G7,176,agent_scaffold,S0
G7,177,help_click,S0
G7,178,agent_scaffold,S0
G7,179,help_click,S0
G7,180,agent_scaffold,S0
G7,181,help_click,S0
G7,182,agent_scaffold,S0
G7,183,help_click,S0
G7,184,agent_probe,S0
G7,185,help_click,S0
G7,186,agent_scaffold,S0
G7,187,help_click,S0
G7,188,agent_scaffold,S0
G7,189,help_click,S0
G7,190,agent_scaffold,S0
G7,191,help_click,S0
G7,192,agent_scaffold,S0
G7,193,help_click,S0
G7,194,agent_scaffold,S0
G7,195,help_click,S0
G7,196,agent_scaffold,S0
G7,197,help_click,S0
G7,198,agent_scaffold,S0
G7,199,help_click,S0
G7,200,agent_scaffold,S0
G7,201,help_click,S0
G7,202,agent_scaffold,S0
G7,203,help_click,S0
G7,204,agent_scaffold,S0
G7,205,help_click,S0
G7,206,agent_scaffold,S0
G7,207,help_click,S0
G7,208,agent_scaffold,S0
G7,209,help_click,S0
G7,210,agent_scaffold,S0
G7,211,help_click,S0
G7,212,agent_scaffold,S0
G7,213,help_click,S0
G7,214,agent_scaffold,S0
G7,215,help_click,S0
G7,216,agent_scaffold,S0
G7,217,help_click,S0
G7,218,agent_scaffold,S0
G7,219,help_click,S0
G7,220,agent_scaffold,S0
G7,221,help_click,S0
G7,222,agent_scaffold,S0
G7,223,help_click,S0
G7,224,agent_scaffold,S0
G7,225,help_click,S0
G7,226,agent_scaffold,S0
G7,227,help_click,S0
G7,228,agent_scaffold,S0
G7,229,help_click,S0
G7,230,agent_scaffold,S0
G7,231,help_click,S0
G7,232,agent_scaffold,S0
G7,233,help_click,S0
G7,234,agent_scaffold,S0
G7,235,help_click,S0
G7,236,agent_scaffold,S0
G7,237,help_click,S0
G7,238,agent_scaffold,S0
G7,239,help_click,S0
G7,240,agent_scaffold,S0
G7,241,help_click,S0
G7,242,agent_scaffold,S0
G7,243,help_click,S0
G7,244,agent_scaffold,S0
G7,245,help_click,S0
G7,246,help_click,S0
G7,247,help_click,S0
G7,248,help_click,S0
G7,249,help_click,S0
G7,250,help_click,S0
G7,251,help_click,S0
G7,252,help_click,S0
G7,253,help_click,S0
G7,254,help_click,S0
G7,255,help_click,S0
G7,256,help_click,S0
G7,257,help_click,S0
G7,258,help_click,S0
G7,259,help_click,S0
G7,260,help_click,S0
G7,261,help_click,S0
G7,262,help_click,S0
G7,263,help_click,S0
G7,264,help_click,S0
G7,265,help_click,S0
G7,266,help_click,S0
G7,267,help_click,S0
G7,268,help_click,S0
G7,269,help_click,S0
G7,270,help_click,S0
G7,271,help_click,S0
G7,272,help_click,S0
G7,273,help_click,S0
G7,274,help_click,S0
G7,275,help_click,S0
G7,276,help_click,S0
G7,277,help_click,S0
G7,278,help_click,S0
G7,279,help_click,S0
G7,280,help_click,S0
G7,281,help_click,S0
G7,282,help_click,S0
G7,283,help_click,S0
G7,284,help_click,S0
G7,285,help_click,S0
G7,286,help_click,S0
G7,287,help_click,S0
G7,288,help_click,S0
G7,289,help_click,S0
G7,290,help_click,S0
G7,291,help_click,S0
G7,292,help_click,S0
G7,293,help_click,S0
G7,294,help_click,S0
G7,295,help_click,S0
G7,296,help_click,S0
G7,297,help_click,S0
G7,298,help_click,S0
G7,299,help_click,S0
G7,300,help_click,S0
G7,301,help_click,S0
G7,302,help_click,S0
G7,303,help_click,S0
G7,304,help_click,S0
G7,305,help_click,S0
G7,306,help_click,S0
G7,307,help_click,S0
G7,308,help_click,S0
G7,309,help_click,S0
G7,310,help_click,S0
G7,311,help_click,S0
G7,312,help_click,S0
G7,313,help_click,S0
G7,314,help_click,S0
G7,315,help_click,S0
G7,316,help_click,S0
G7,317,help_click,S0
G7,318,help_click,S0
G7,319,help_click,S0
G7,320,help_click,S0
G7,321,help_click,S0
G7,322,help_click,S0
G7,323,help_click,S0
G7,324,help_click,S0
G7,325,help_click,S0
G7,326,help_click,S0
G7,327,help_click,S0
G7,328,help_click,S0
G7,329,help_click,S0
G7,330,help_click,S0
G7,331,help_click,S0
G7,332,help_click,S0
G7,333,help_click,S0
G7,334,help_click,S0
G7,335,help_click,S0
G7,336,help_click,S0
G7,337,help_click,S0
G7,338,help_click,S0
G7,339,help_click,S0
G7,340,help_click,S0
G7,341,help_click,S0
G7,342,help_click,S0
G7,343,help_click,S0
G7,344,help_click,S0
G7,345,help_click,S0
G7,346,help_click,S0
G7,347,help_click,S0
G7,348,help_click,S0
G7,349,help_click,S0
G7,350,help_click,S0
G7,351,help_click,S0
G7,352,help_click,S0
G7,353,help_click,S0
G7,354,help_click,S0
G7,355,help_click,S0
G7,356,help_click,S0
G7,357,help_click,S0
G7,358,help_click,S0
G7,359,help_click,S0
G7,360,help_click,S0
G7,361,help_click,S0
G7,362,help_click,S0
G7,363,help_click,S0
G7,364,help_click,S0
G7,365,help_click,S0
G7,366,help_click,S0
G7,367,help_click,S0
G7,368,help_click,S0
G7,369,help_click,S0
G7,370,help_click,S0
G7,371,help_click,S0
G7,372,help_click,S0
G7,373,help_click,S0
G7,374,help_click,S0
G7,375,help_click,S0
G7,376,help_click,S0
G7,377,help_click,S0
G7,378,help_click,S0
G7,379,help_click,S0
G7,380,help_click,S0
G7,381,help_click,S0
G7,382,help_click,S0
G7,383,help_click,S0
G7,384,help_click,S0
G7,385,help_click,S0
G7,386,help_click,S0
G7,387,help_click,S0
G7,388,help_click,S0
G7,389,help_click,S0
G7,390,help_click,S0
G7,391,help_click,S0
G7,392,help_click,S0
G7,393,help_click,S0
G7,394,help_click,S0
G7,395,help_click,S0
G7,396,help_click,S0
G7,397,help_click,S0
G7,398,help_click,S0
G7,399,help_click,S0
G7,400,help_click,S0
G7,401,help_click,S0
G7,402,help_click,S0
G7,403,help_click,S0
G7,404,help_click,S0
G7,405,help_click,S0
G7,406,help_click,S0
G7,407,help_click,S0
G7,408,help_click,S0
G7,409,help_click,S0
G7,410,help_click,S0
G7,411,help_click,S0
G7,412,help_click,S0
G7,413,help_click,S0
G7,414,help_click,S0
G7,415,help_click,S0
G7,416,help_click,S0
G7,417,help_click,S0
G7,418,help_click,S0
G7,419,help_click,S0
G7,420,help_click,S0
G7,421,help_click,S0
G7,422,help_click,S0
G7,423,help_click,S0
G7,424,help_click,S0
G7,425,help_click,S0
G7,426,help_click,S0
G7,427,help_click,S0
G7,428,help_click,S0
G7,429,help_click,S0
G7,430,help_click,S0
G7,431,help_click,S0
G7,432,help_click,S0
G7,433,help_click,S0
G7,434,help_click,S0
G7,435,help_click,S0
G7,436,help_click,S0
G7,437,help_click,S0
G7,438,help_click,S0
G7,439,help_click,S0
G7,440,help_click,S0
G7,441,help_click,S0
G7,442,help_click,S0
G7,443,help_click,S0
G7,444,help_click,S0
G7,445,help_click,S0
G7,446,help_click,S0
G7,447,help_click,S0
G7,448,help_click,S0
G7,449,help_click,S0
G7,450,submit,S0
G7,451,navigate,S1
G7,452,help_click,S1
G7,453,help_click,S1
G7,454,help_click,S1
G7,455,help_click,S1
G7,456,help_click,S1
G7,457,help_click,S1
G7,458,help_click,S1
G7,459,help_click,S1
G7,460,help_click,S1
G7,461,help_click,S1
G7,462,help_click,S1
G7,463,help_click,S1
G7,464,help_click,S1
G7,465,help_click,S1
G7,466,help_click,S1
G7,467,help_click,S1
G7,468,help_click,S1
G7,469,help_click,S1
G7,470,help_click,S1
G7,471,help_click,S1
G7,472,help_click,S1
G7,473,help_click,S1
G7,474,help_click,S1
G7,475,help_click,S1
G7,476,help_click,S1
G7,477,help_click,S1
G7,478,help_click,S1
G7,479,help_click,S1
G7,480,help_click,S1
G7,481,help_click,S1
G7,482,help_click,S1
G7,483,help_click,S1
G7,484,help_click,S1
G7,485,help_click,S1
G7,486,help_click,S1
G7,487,help_click,S1
G7,488,help_click,S1
G7,489,help_click,S1
G7,490,help_click,S1
G7,491,help_click,S1
G7,492,help_click,S1
G7,493,help_click,S1
G7,494,help_click,S1
G7,495,help_click,S1
G7,496,help_click,S1
G7,497,help_click,S1
G7,498,help_click,S1
G7,499,help_click,S1
G7,500,help_click,S1
G7,501,help_click,S1
G7,502,help_click,S1
G7,503,help_click,S1
G7,504,help_click,S1
G7,505,help_click,S1
G7,506,help_click,S1
G7,507,help_click,S1
G7,508,help_click,S1
G7,509,help_click,S1
G7,510,help_click,S1
G7,511,help_click,S1
G7,512,help_click,S1
G7,513,help_click,S1
G7,514,help_click,S1
G7,515,help_click,S1
G7,516,help_click,S1
G7,517,help_click,S1
G7,518,help_click,S1
G7,519,help_click,S1
G7,520,help_click,S1
G7,521,help_click,S1
G7,522,help_click,S1
G7,523,help_click,S1
G7,524,help_click,S1
G7,525,help_click,S1
G7,526,help_click,S1
G7,527,help_click,S1
G7,528,help_click,S1
G7,529,help_click,S1
G7,530,help_click,S1
G7,531,help_click,S1
G7,532,help_click,S1
G7,533,help_click,S1
G7,534,help_click,S1
G7,535,help_click,S1
G7,536,help_click,S1
G7,537,help_click,S1
G7,538,help_click,S1
G7,539,help_click,S1
G7,540,help_click,S1
G7,541,help_click,S1
G7,542,help_click,S1
G7,543,help_click,S1
G7,544,help_click,S1
G7,545,help_click,S1
G7,546,help_click,S1
G7,547,help_click,S1
G7,548,help_click,S1
G7,549,help_click,S1
G7,550,help_click,S1
G7,551,help_click,S1
G7,552,help_click,S1
G7,553,help_click,S1
G7,554,help_click,S1
G7,555,help_click,S1
G7,556,help_click,S1
G7,557,help_click,S1
G7,558,help_click,S1
G7,559,help_click,S1
G7,560,help_click,S1
G7,561,help_click,S1
G7,562,help_click,S1
G7,563,help_click,S1
G7,564,help_click,S1
G7,565,help_click,S1
G7,566,help_click,S1
G7,567,help_click,S1
G7,568,help_click,S1
G7,569,help_click,S1
G7,570,help_click,S1
G7,571,help_click,S1
G7,572,help_click,S1
G7,573,help_click,S1
G7,574,help_click,S1
G7,575,help_click,S1
G7,576,help_click,S1
G7,577,help_click,S1
G7,578,help_click,S1
G7,579,help_click,S1
G7,580,help_click,S1
G7,581,help_click,S1
G7,582,help_click,S1
G7,583,help_click,S1
G7,584,help_click,S1
G7,585,help_click,S1
G7,586,help_click,S1
G7,587,help_click,S1
G7,588,help_click,S1
G7,589,help_click,S1
G7,590,help_click,S1
G7,591,help_click,S1
G7,592,help_click,S1
G7,593,help_click,S1
G7,594,help_click,S1
G7,595,help_click,S1
G7,596,help_click,S1
G7,597,help_click,S1
G7,598,help_click,S1
G7,599,help_click,S1
G7,600,help_click,S1
G7,601,help_click,S1
G7,602,help_click,S1
G7,603,help_click,S1
G7,604,help_click,S1
G7,605,help_click,S1
G7,606,help_click,S1
G7,607,help_click,S1
G7,608,help_click,S1
G7,609,help_click,S1
G7,610,help_click,S1
G7,611,help_click,S1
G7,612,help_click,S1
G7,613,help_click,S1
G7,614,help_click,S1
G7,615,help_click,S1
G7,616,help_click,S1
G7,617,help_click,S1
G7,618,help_click,S1
G7,619,help_click,S1
G7,620,help_click,S1
G7,621,help_click,S1
G7,622,help_click,S1
G7,623,help_click,S1
G7,624,help_click,S1
G7,625,help_click,S1
G7,626,help_click,S1
G7,627,help_click,S1
G7,628,help_click,S1
G7,629,help_click,S1
G7,630,help_click,S1
G7,631,help_click,S1
G7,632,help_click,S1
G7,633,help_click,S1
G7,634,help_click,S1
G7,635,help_click,S1
G7,636,help_click,S1
G7,637,help_click,S1
G7,638,help_click,S1
G7,639,help_click,S1
G7,640,help_click,S1
G7,641,help_click,S1
G7,642,help_click,S1
G7,643,help_click,S1
G7,644,help_click,S1
G7,645,help_click,S1
G7,646,help_click,S1
G7,647,help_click,S1
G7,648,help_click,S1
G7,649,help_click,S1
G7,650,help_click,S1
G7,651,help_click,S1
G7,652,help_click,S1
G7,653,help_click,S1
G7,654,help_click,S1
G7,655,help_click,S1
G7,656,help_click,S1
G7,657,help_click,S1
G7,658,help_click,S1
G7,659,help_click,S1
G7,660,help_click,S1
G7,661,help_click,S1
G7,662,help_click,S1
G7,663,help_click,S1
G7,664,help_click,S1
G7,665,help_click,S1
G7,666,help_click,S1
G7,667,help_click,S1
G7,668,help_click,S1
G7,669,help_click,S1
G7,670,help_click,S1
G7,671,help_click,S1
G7,672,help_click,S1
G7,673,help_click,S1
G7,674,help_click,S1
G7,675,help_click,S1
G7,676,help_click,S1
G7,677,help_click,S1
G7,678,help_click,S1
G7,679,help_click,S1
G7,680,help_click,S1
G7,681,help_click,S1
G7,682,help_click,S1
G7,683,help_click,S1
G7,684,help_click,S1
G7,685,help_click,S1
G7,686,help_click,S1
G7,687,help_click,S1
G7,688,help_click,S1
G7,689,help_click,S1
G7,690,help_click,S1
G7,691,help_click,S1
G7,692,help_click,S1
G7,693,help_click,S1
G7,694,help_click,S1
G7,695,help_click,S1
G7,696,help_click,S1
G7,697,help_click,S1
G7,698,help_click,S1
G7,699,help_click,S1
G7,700,help_click,S1
G7,701,help_click,S1
G7,702,help_click,S1
G7,703,help_click,S1
G7,704,help_click,S1
G7,705,help_click,S1
G7,706,help_click,S1
G7,707,help_click,S1
G7,708,help_click,S1
G7,709,help_click,S1
G7,710,help_click,S1
G7,711,help_click,S1
G7,712,help_click,S1
G7,713,help_click,S1
G7,714,help_click,S1
G7,715,help_click,S1
G7,716,help_click,S1
G7,717,help_click,S1
G7,718,help_click,S1
G7,719,help_click,S1
G7,720,help_click,S1
G7,721,help_click,S1
G7,722,help_click,S1
G7,723,help_click,S1
G7,724,help_click,S1
G7,725,help_click,S1
G7,726,help_click,S1
G7,727,help_click,S1
G7,728,help_click,S1
G7,729,help_click,S1
G7,730,help_click,S1
G7,731,help_click,S1
G7,732,help_click,S1
G7,733,help_click,S1
G7,734,help_click,S1
G7,735,help_click,S1
G7,736,help_click,S1
G7,737,help_click,S1
G7,738,help_click,S1
G7,739,help_click,S1
G7,740,help_click,S1
G7,741,help_click,S1
G7,742,help_click,S1
G7,743,help_click,S1
G7,744,help_click,S1
G7,745,help_click,S1
G7,746,help_click,S1
G7,747,help_click,S1
G7,748,help_click,S1
G7,749,help_click,S1
G7,750,help_click,S1
G7,751,help_click,S1
G7,752,help_click,S1
G7,753,help_click,S1
G7,754,help_click,S1
G7,755,help_click,S1
G7,756,help_click,S1
G7,757,help_click,S1
G7,758,help_click,S1
G7,759,help_click,S1
G7,760,help_click,S1
G7,761,help_click,S1
G7,762,help_click,S1
G7,763,help_click,S1
G7,764,help_click,S1
G7,765,help_click,S1
G7,766,help_click,S1
G7,767,help_click,S1
G7,768,help_click,S1
G7,769,help_click,S1
G7,770,help_click,S1
G7,771,help_click,S1
G7,772,help_click,S1
G7,773,help_click,S1
G7,774,help_click,S1
G7,775,help_click,S1
G7,776,help_click,S1
G7,777,help_click,S1
G7,778,help_click,S1
G7,779,submit,S1
G7,780,navigate,S2
G7,781,help_click,S2
G7,782,help_click,S2
G7,783,help_click,S2
G7,784,help_click,S2
G7,785,help_click,S2
G7,786,help_click,S2
G7,787,help_click,S2
G7,788,help_click,S2
G7,789,help_click,S2
G7,790,help_click,S2
G7,791,help_click,S2
G7,792,help_click,S2
G7,793,help_click,S2
G7,794,help_click,S2
G7,795,help_click,S2
G7,796,help_click,S2
G7,797,help_click,S2
G7,798,help_click,S2
G7,799,help_click,S2
G7,800,help_click,S2
G7,801,help_click,S2
G7,802,help_click,S2
G7,803,help_click,S2
G7,804,help_click,S2
G7,805,help_click,S2
G7,806,help_click,S2
G7,807,help_click,S2
G7,808,help_click,S2
G7,809,help_click,S2
G7,810,help_click,S2
G7,811,help_click,S2
G7,812,help_click,S2
G7,813,help_click,S2
G7,814,help_click,S2
G7,815,help_click,S2
G7,816,help_click,S2
G7,817,help_click,S2
G7,818,help_click,S2
G7,819,help_click,S2
G7,820,help_click,S2
G7,821,help_click,S2
G7,822,help_click,S2
G7,823,help_click,S2
G7,824,help_click,S2
G7,825,help_click,S2
G7,826,help_click,S2
G7,827,help_click,S2
G7,828,help_click,S2
G7,829,help_click,S2
G7,830,help_click,S2
G7,831,help_click,S2
G7,832,help_click,S2
G7,833,help_click,S2
G7,834,help_click,S2
G7,835,help_click,S2
G7,836,help_click,S2
G7,837,help_click,S2
G7,838,help_click,S2
G7,839,help_click,S2
G7,840,help_click,S2
G7,841,help_click,S2
G7,842,help_click,S2
G7,843,help_click,S2
G7,844,help_click,S2
G7,845,help_click,S2
G7,846,help_click,S2
G7,847,help_click,S2
G7,848,help_click,S2
G7,849,help_click,S2
G7,850,help_click,S2
G7,851,help_click,S2
G7,852,help_click,S2
G7,853,help_click,S2
G7,854,help_click,S2
G7,855,help_click,S2
G7,856,help_click,S2
G7,857,help_click,S2
G7,858,help_click,S2
G7,859,help_click,S2
G7,860,help_click,S2
G7,861,help_click,S2
G7,862,help_click,S2
G7,863,help_click,S2
